station,lat,long,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dic,annual,,,
21010040,1.961472222,-76.08569444,68.15909091,104.625,114.0068182,140.5454545,143.9659091,140.6136364,129,99.19318182,88.59090909,110.9090909,115.6818182,93.04545455,112.3613636,,,
21010050,1.931583333,-76.21491667,77.95875,103.72625,128.94125,131.34375,139.65875,135.22375,128.60625,110.58125,75.58125,122.07125,134.225,106.7675,116.22375,,,
21010060,2.020833333,-76.17213889,102.0181818,129.3125,154.8704545,178.4772727,179.75,180.0681818,177.4886364,130.4659091,105.4272727,155.4613636,179.8613636,135.2159091,150.7014205,,,
21010110,1.844916667,-76.07441667,51.88409091,89.76136364,115.5954545,131.2602273,147.2545455,146.4295455,132.8295455,102.4931818,90.31818182,102.1636364,107.0136364,81.90681818,108.2425189,,,
21010130,1.810388889,-76.24669444,90.55263158,99.96052632,154.0657895,192.6289474,200.4605263,196.6710526,172.6184211,140.4210526,110.7894737,153.8289474,155.4210526,117.7368421,148.7629386,,,
21010140,1.864388889,-76.36083333,101.2289474,129.9736842,165.5,184.8684211,214.9,226.8157895,211.6447368,179.25,133.9473684,169.5526316,152.2631579,130.8815789,166.7355263,,,
21010170,1.901388889,-76.1725,89.59411765,115.1029412,131.3852941,164.2882353,161.3117647,160.3176471,164.7529412,123.5,106.7205882,138.0294118,149.1970588,117.3235294,135.1269608,,,
21010180,1.695277778,-76.15522222,86.87272727,99.21515152,151.8454545,200.480303,218.5015152,210.4393939,187.4272727,171.6909091,139.3848485,128.6242424,119.3575758,118.1818182,152.6684343,,,
21010190,1.848944444,-76.24972222,78.18088235,100.7470588,121.2794118,160.3411765,173.6823529,192.7294118,171.2029412,136.4323529,97.91176471,122.8676471,122.3470588,103.1029412,131.7354167,,,
21010200,1.850305556,-76.31755556,88.82352941,124.6911765,137.2794118,192.8823529,203.2205882,205.6176471,220.3970588,144.7411765,123.2941176,142.7058824,133.0588235,121.9264706,153.2198529,,,
21010210,1.713805556,-76.18891667,121.8264706,143.3264706,170.2647059,213.6764706,222.5,236.6176471,202.7941176,180.9705882,141.0294118,173.8088235,162.6176471,128.5029412,174.8279412,,,
21010220,2.065888889,-76.185,126.2941176,178.2941176,184.3823529,206.4852941,191.2941176,226.8382353,226.1102941,171.5,124.6470588,218.1911765,214.0588235,163.8529412,185.9957108,,,
21010230,1.905805556,-76.30425,84.36818182,108.5681818,116.1575758,129.4454545,138.3378788,137.4651515,136.7545455,104.9181818,81.62272727,114.7393939,121.3090909,123.3954545,116.4234848,,,
21010250,1.977805556,-76.25352778,96.87058824,114.9867647,134.2558824,142.1058824,148.7102941,157.4044118,162.6323529,98.11470588,80.59411765,120.6235294,149.9955882,109.6852941,126.3316176,,,
21015020,1.824833333,-76.13027778,55.15232558,76.11162791,102.3197674,132.8709302,137.7604651,137.1988372,126.5546512,95.42209302,81.96511628,92.68953488,91.5744186,78.32674419,100.6622093,,,
21015030,1.888472222,-76.29497222,74.67674419,100.9139535,122.6813953,138.0151163,143.6302326,147.8465116,136.6744186,108.6651163,90.89651163,112.1395349,139.727907,106.1116279,118.4982558,,,
21020040,2.017138889,-75.90722222,66.64705882,97.58823529,115.2647059,137.3529412,123.7647059,84.17647059,76.58823529,54.04411765,62.95588235,100.5735294,127.8970588,77.27941176,93.67769608,,,
21020050,1.984222222,-76.01375,75.2,101.9857143,136.5285714,148.3285714,156.9,117.7142857,118.8571429,79.51428571,84.75714286,111.4557143,139.0714286,88.85714286,113.2641667,,,
21030050,2.02625,-75.77536111,63.06818182,102.9886364,113.8977273,113.3295455,119.5568182,97.94318182,86.82954545,66.80681818,70,99.54545455,129.5,78.86363636,95.19412879,,,
21030060,1.714277778,-76.02208333,71.81818182,100.8636364,150.1818182,187.7534091,228.8204545,250.4590909,248.4647727,221.9068182,176.3818182,136.0931818,121.3965909,99.10454545,166.1036932,,,
21030080,1.807916667,-75.55602778,66.78139535,80.84069767,132.1162791,157.1860465,182.4651163,188.3465116,169.1162791,139.0813953,134.744186,108.7906977,97.40697674,77.18255814,127.8381783,,,
21030090,2.202944444,-75.67772222,57.11627907,79.79069767,116.7209302,105.8837209,89.36046512,71.43023256,50.68604651,33.37209302,43.09302326,100.8837209,108.6627907,77.19767442,77.8498062,,,
21030110,2.07775,-75.68194444,80.65,125.7470588,158.2029412,147.9764706,156.1058824,124.8147059,107.6088235,74.30588235,82.40588235,149.6823529,159.2411765,96.61176471,121.9460784,,,
21035020,1.913888889,-75.679,77.13194444,106.1777778,150.7958333,209.5041667,234.475,261.0666667,286.5638889,217.675,187.8680556,179.3847222,153.9222222,107.0041667,180.9641204,,,
21040010,2.25,-75.76666667,112.3333333,125.4545455,173.3030303,141.9393939,129.2727273,88.77272727,75.51515152,43.75757576,64,151.4969697,176.5606061,130.5606061,117.7472222,,,
